iter	Passed	Remaining
620	338262	3747034
621	338840	3746858
622	339304	3745425
623	339857	3744968
624	340432	3744758
625	340947	3743883
626	341454	3742929
627	341979	3742168
628	342445	3740764
629	342948	3739771
630	343497	3739273
631	344049	3738819
632	344597	3738311
633	345082	3737121
634	345604	3736342
635	346132	3735619
636	346627	3734545
637	347135	3733615
638	347619	3732425
639	348175	3732010
640	348765	3731948
641	349290	3731204
642	349817	3730479
643	350378	3730112
644	350881	3729138
645	351409	3728418
646	351966	3728012
647	352510	3727476
648	352954	3725877
649	353514	3725500
650	354203	3726485
651	354797	3726462
652	355295	3725431
653	355864	3725154
654	356397	3724494
655	356940	3723930
656	357492	3723476
657	357950	3722034
658	358436	3720883
659	358999	3720543
660	359553	3720103
661	359996	3718516
662	360511	3717675
663	361015	3716724
664	361543	3716012
665	362084	3715444
666	362576	3714373
667	363118	3713810
668	363584	3712470
669	364133	3711988
670	364705	3711736
671	365252	3711226
672	365813	3710863
673	366351	3710259
674	366882	3709589
675	367407	3708854
676	368128	3710100
677	368608	3708918
678	369162	3708482
679	369718	3708062
680	370209	3706983
681	370693	3705852
682	371179	3704732
683	371664	3703600
684	372172	3702712
685	372724	3702252
686	373255	3701589
687	373694	3700007
688	374288	3699969
689	374818	3699296
690	375272	3697868
691	375880	3697968
692	376353	3696736
693	376909	3696321
694	377434	3695601
695	377943	3694720
696	378394	3693277
697	378940	3692772
698	379410	3691519
699	379897	3690435
700	380366	3689178
701	380916	3688705
702	381512	3688673
703	382025	3687852
704	382549	3687124
705	383064	3686321
706	383601	3685721
707	384208	3685792
708	384783	3685566
709	385248	3684279
710	385800	3683821
711	386338	3683243
712	386878	3682672
713	387449	3682399
714	387930	3681270
715	388437	3680392
716	389035	3680376
717	389560	3679666
718	390095	3679049
719	390678	3678887
720	391193	3678086
721	391723	3677422
722	392215	3676410
723	392674	3675083
724	393224	3674618
725	393800	3674387
726	394366	3674068
727	394873	3673195
728	395530	3673715
729	396051	3672973
730	396596	3672452
731	397061	3671187
732	397558	3670234
733	398120	3669869
734	398656	3669264
735	399176	3668514
736	399749	3668259
737	400284	3667648
738	400775	3666631
739	401286	3665802
740	401808	3665082
741	402273	3663834
742	402787	3663031
743	403291	3662147
744	403779	3661117
745	404231	3659759
746	404753	3659035
747	405259	3658170
748	405758	3657245
749	406294	3656651
750	406840	3656151
751	407336	3655193
752	407788	3653852
753	408321	3653233
754	408986	3653790
755	409538	3653342
756	410038	3652428
757	410586	3651941
758	411121	3651345
759	411609	3650326
760	412120	3649512
761	412642	3648799
762	413176	3648193
763	413674	3647270
764	414165	3646284
765	414714	3645808
766	415225	3645001
767	415740	3644226
768	416273	3643607
769	416839	3643282
770	417416	3643056
771	417937	3642334
772	418505	3642025
773	418944	3640592
774	419462	3639853
775	419955	3638896
776	420419	3637686
777	420983	3637337
778	421522	3636777
779	422069	3636288
780	422703	3636552
781	423210	3635716
782	423719	3634897
783	424221	3634021
784	424750	3633372
785	425305	3632954
786	425830	3632272
787	426314	3631248
788	426769	3629977
789	427244	3628876
790	427757	3628099
791	428255	3627192
792	428788	3626585
793	429247	3625355
794	429771	3624673
795	430306	3624085
796	430883	3623857
797	431440	3623452
798	431960	3622740
799	432506	3622239
800	432947	3620870
801	433541	3620771
802	434029	3619791
803	434498	3618660
804	434992	3617736
805	435555	3617384
806	436128	3617114
807	436655	3616457
808	437203	3615980
809	437738	3615395
810	438282	3614880
811	438814	3614275
812	439288	3613190
813	439810	3612495
814	440292	3611476
815	440833	3610941
816	441414	3610734
817	441970	3610323
818	442557	3610168
819	443139	3609968
820	443639	3609097
821	444182	3608574
822	444707	3607910
823	445160	3606665
824	445704	3606155
825	446186	3605140
826	446624	3603778
827	447149	3603121
828	447672	3602440
829	448128	3601223
830	448723	3601125
831	449202	3600099
832	449834	3600298
833	450380	3599806
834	450959	3599577
835	451480	3598880
836	452030	3598424
837	452524	3597519
838	453071	3597031
839	453520	3595768
840	454056	3595195
841	454561	3594383
842	455115	3593951
843	455658	3593438
844	456198	3592901
845	456727	3592272
846	457243	3591545
847	457739	3590661
848	458264	3590006
849	458795	3589403
850	459332	3588839
851	459875	3588324
852	460451	3588067
853	460977	3587416
854	461471	3586526
855	461943	3585454
856	462448	3584650
857	462988	3584114
858	463623	3584310
859	464137	3583574
860	464670	3582978
861	465224	3582550
862	465802	3582308
863	466302	3581458
864	466770	3580376
865	467325	3579953
866	467821	3579079
867	468306	3578124
868	468840	3577538
869	469362	3576868
870	469915	3576426
871	470403	3575496
872	470857	3574313
873	471389	3573717
874	471944	3573296
875	472435	3572392
876	472935	3571554
877	473424	3570631
878	473916	3569738
879	474468	3569295
880	475020	3568852
881	475541	3568178
882	476130	3568016
883	476601	3566966
884	477258	3567306
885	477771	3566571
886	478300	3565954
887	478853	3565516
888	479333	3564538
889	479822	3563624
890	480386	3563267
891	480923	3562714
892	481457	3562139
893	482006	3561669
894	482452	3560446
895	482975	3559787
896	483519	3559286
897	484049	3558677
898	484592	3558170
899	485155	3557807
900	485715	3557419
901	486204	3556514
902	486716	3555782
903	487246	3555177
904	487771	3554530
905	488331	3554146
906	488892	3553768
907	489424	3553177
908	489986	3552802
909	490467	3551849
910	491108	3552043
911	491642	3551471
912	492145	3550674
913	492667	3550009
914	493167	3549189
915	493645	3548211
916	494189	3547708
917	494722	3547129
918	495269	3546645
919	495729	3545545
920	496236	3544773
921	496768	3544193
922	497318	3543731
923	497829	3542996
924	498381	3542546
925	498917	3541988
926	499451	3541421
927	499949	3540590
928	500411	3539506
929	500967	3539093
930	501500	3538514
931	502006	3537747
932	502551	3537253
933	503109	3536852
934	503650	3536327
935	504193	3535815
936	504853	3536128
937	505380	3535505
938	505903	3534860
939	506451	3534385
940	507003	3533937
941	507511	3533182
942	507986	3532200
943	508518	3531619
944	509072	3531183
945	509567	3530341
946	510059	3529485
947	510592	3528903
948	511104	3528184
949	511657	3527741
950	512201	3527242
951	512757	3526825
952	513288	3526234
953	513815	3525614
954	514332	3524929
955	514771	3523706
956	515363	3523535
957	515815	3522405
958	516312	3521583
959	516767	3520479
960	517265	3519665
961	517814	3519199
962	518505	3519701
963	519040	3519136
964	519537	3518319
965	520071	3517754
966	520583	3517036
967	521175	3516857
968	521701	3516233
969	522180	3515294
970	522730	3514836
971	523235	3514072
972	523764	3513473
973	524216	3512356
974	524688	3511378
975	525236	3510906
976	525758	3510259
977	526270	3509549
978	526843	3509240
979	527356	3508536
980	527806	3507410
981	528269	3506373
982	528729	3505317
983	529289	3504929
984	529835	3504444
985	530355	3503791
986	530884	3503189
987	531369	3502305
988	531988	3502304
989	532454	3501288
990	532975	3500644
991	533546	3500326
992	534018	3499354
993	534571	3498915
994	535028	3497850
995	535554	3497237
996	536052	3496435
997	536539	3495568
998	537063	3494941
999	537556	3494120
1000	538054	3493324
1001	538619	3492963
1002	539093	3492013
1003	539560	3491020
1004	540066	3490279
1005	540602	3489735
1006	541155	3489296
1007	541637	3488402
1008	542219	3488152
1009	542707	3487301
1010	543219	3486601
1011	543711	3485770
1012	544279	3485431
1013	544801	3484797
1014	545405	3484681
1015	545875	3483714
1016	546403	3483121
1017	546883	3482221
1018	547369	3481355
1019	547875	3480617
1020	548283	3479265
1021	548904	3479257
1022	549454	3478806
1023	550014	3478409
